Game,Platform,Genre,Rating,Played,IGDB,Completed,Quick Review,Notes,GOTY
Resonance of the Ocean,PC,Music,4,6/8/2025,207796,TRUE,It's a game! You match sounds. It's 15 minutes long.,,
Vending Dokan! Kozy Kiosk,PC,Simulator,6,6/8/2025,331218,TRUE,"Good soundtrack. Great theme. However, it still need some time as some features are not implemented even though its a ""full release"".",,
Promise Mascot Agency,PC,Driving,7,6/8/2025,299593,FALSE,"It's okay! Good sense of humor and asthetics. However, a majority of the game seems to just be driving around and collecting things.",,
Schedule 1,PC,Simulator,7,4/11/2025,328373,TRUE,"It's pretty fun! It's definitely grindy at times, but being able to slowly upgrade everything is very fun. Play co-op!",,
TCG Card Shop Simulator,PC,Simulator,6,3/27/2025,309862,NA,It starts out really fun and addicting but becomes a grind really quick. Why is storage nearly the price of a room expansion?!,,
Manor Lords,PC,Builder,6,3/21/2025,137206,TRUE,"Normally I love these types of games, but the military portion is jank. From what I can tell, it's nearly impossible to get armor and weapons before the first raid. That means most of your town will be burnt. For me, I couldn't figure out how to get these items even after 4-5 raids. It might be a me problem, but it spoiled he experience.",,
Space Bear,PC,Other,5,3/18/2025,128946,TRUE,Kinda funny. Short free game about a bear in space!,,
While We Wait Here,PC,Horror,8,3/18/2025,238675,TRUE,"Cool short horror game with a really fun diner simulation. However, missing some choices can lead to a really confusing ending.",,
Split Fiction,PC,Adventure,9,3/17/2025,325594,TRUE,Great game. The ending especially was fantastic.,,
Sorry We're Closed,PC,Horror,9,3/7/2025,190964,TRUE,A really interesting horror game that isn't too stressful. Wonderful and weird story with a great set of diverse characters. Some really good choice and consequence options as well.,,
Faceminer,PC,Idle,8,3/4/2025,257986,TRUE,A really good idle game with an interesting story that could be applied to modern day easily.,,
1000xResist,PC,Mystery,6,2/20/2025,218282,TRUE,"An interesting world and good potential, but the delivery was not great which caused the game to fall off for me. There is so much potential here though.",,
Sniper Elite Resistance,PC,Shooter,5,2/12/2025,314238,TRUE,"A cash grab if I've ever seen one. Boring dialogue, boring story, bad invasion system. Bad overall.",,
Slay the Princess,PC,Visual Novel,9,1/30/2025,305071,TRUE,"Wow, this game is so freaking cool. Definitely worth playing through and don't spoil yourself!",,
Buckshot Roulette,PC,Puzzle,6,12/29/2024,281275,TRUE,A really short but unique little game. I think it really shines in multiplayer. There isn't really much to the singleplayer.,,
In Sink,PC,Puzzle,7,12/27/2024,197514,TRUE,A pretty good puzzle games with some REALLY annoying puzzles here and there.,,
Marvel Rivals,PC,Shooter,6,12/27/2024,294041,NA,Its overwatch but marvel. The shark has a really mean ultimate.,,
UFO 50,PC,Other,6,12/31/2024,54555,FALSE,A neat compilation. Some games are good and others are really bad. The controls for some are awful.,,
Backpack Battles,PC,Roguelike,9,12/25/2024,253659,NA,"This is REALLY addicting. It's all about optimizing as much as possible. Its really fun to take a losing build, re-arrange it, and turn it in to a winning build.",,
The Gnorp Apologue,PC,Idle,8,12/19/2024,274543,NA,"I've played a lot of idle games, but gnorp does a really great job of making a fun and interesting game while keeping it simple. I love it.",,
Balatro,PC,Card / Board Game,10,12/19/2024,251833,TRUE,Oh wow. I understand the addiction now.,,Bronze
Once Upon a Jester,PC,Casual,8,12/8/2024,159553,TRUE,Humor is on point and the game is super charming. Worth a play for sure!,,
Thank Goodness You're Here!,PC,Adventure,8,11/28/2024,262538,TRUE,"This is the most British game of all time, and it's hilarious. Definitely worth playing if you like weird games.",,
Neo Harbor Rescue Squad,PC,Simulator,6,11/24/2024,312760,FALSE,"It's like wario wear meets medical simulator. The story is kind of fun with medics vs firefighters. The mini games are fun as well, but you will probably fail the first couple as you try to figure out what is happening.",,
Dragon Age Veilguard,PC,RPG,8,11/24/2024,30208,FALSE,"I like the game, but it does have some strange choices. Some of the dialogue feels a bit off and the way missions are set up makes the world feel like a collection of individual levels instead of a cohesive world. But, the accessibility and inclusion in this game is off the charts. Because of that, I love this game in its own way.",,
Gourdlets,PC,Builder,7,11/18/2024,226469,NA,"Its a cute little building game with cute little people. No real direction, just make little towns.",,
Webfishing,PC,Simulator,9,10/25/2024,319271,NA,Its a fun little silly fishing game. Very wholesome. The dev is a pretty great person and the game is very inclusive. I have so much fun just fishing with friends.,,
Backrooms: Escape Together,PC,Horror,5,10/19/2024,220348,FALSE,"Eh, it looks okay but some objectives seem like they can be completed? Also, backrooms are pretty boring at their core.",,
Panicore,PC,Horror,6,10/13/2024,277278,NA,"Its okay, really cool sound mechanics. However, it seems really difficult for just two people.",,
Remnant 2,PC,Shooter,10,9/28/2024,228535,TRUE,"Really fun game, especially co-op. I love the build variety and the weird lore.",,Silver
Rustys Retirement,PC,Other,8,9/28/2024,278251,TRUE,A really fun farming idle game that lets you stay productive on other tasks. Really enjoyed it.,,
Space Marine 2,PC,Shooter,9,9/28/2024,185252,TRUE,"A very solid game. The campaign has a weird ending, but it works well enough. Operations are super fun.",,
Lunacid,PC,RPG,9,8/27/2024,192291,FALSE,"Very cool old school RPG. It nails the vibes, has great music, and some really cool lore. The developer is also pretty awesome from what I have read.",,
Chained Together,PC,Platformer,5,8/27/2024,265111,FALSE,Its another co-op climbing game. Very basic and not surprising at all.,,
Supermarket Together,PC,Simulator,6,8/23/2024,311540,NA,"Kind of fun, but very buggy and grindy.",,
Tick Tock: A Tale for Two,PC,Puzzle,6,8/16/2024,86295,TRUE,It's not bad. The ending is sort of clever.,,
Cureocity,PC,RPG,5,8/2/2024,275979,TRUE,"A neat story, but sort of boring overall.",,
Buggos,PC,Strategy,8,7/31/2024,151331,TRUE,This is such a cool little game. Definitely pick it up on sale.,,
Minami Lane,PC,Builder,7,7/30/2024,276203,TRUE,"A neat little game, but not much to it and it's very short.",,
Abiotic Factor,PC,Survival,8,7/12/2024,219126,FALSE,Really cool survival game where you play as a half life scientist. One of my favorite survival games.,,
The First Descendant,PC,Shooter,5,7/12/2024,208476,NA,"Its okay, not many interesting characters and all of the missions seem very easy.",,
DoronkoWanko,PC,Adventure,5,5/4/2024,290647,TRUE,I got to make a mess.,,
I'll do it tomorrow,PC,Visual Novel,6,5/4/2024,278990,TRUE,A short little game about handling issues in life. I liked the variety.,,
Rental,PC,Horror,5,5/4/2024,225523,TRUE,It's fine I guess. Very short.,,
Dragons Dogma 2,PC,RPG,7,4/17/2024,115060,FALSE,"I guess I'm slightly disappointed. Neat world, but lack of quality of life features and variety make it a bit of a slog sometimes. They REALLY want you to level up all classes and I just sort of want to be a wizard but with more than like 4 spells.",,
Spirit City: Lofi Sessions,PC,Other,7,4/17/2024,263016,NA,A really neat productivity / relaxation tool.,,
Content Warning,PC,Horror,7,4/17/2024,294661,NA,A really great lethal company style game. Its pretty funny.,,
Helldivers 2,PC,Shooter,10,2/22/2024,250616,NA,A fantastic game held back by server issues. It'll get better though!,,Gold
Enshrouded,PC,RPG,7,2/7/2024,248643,NA,"It's fun exploring, but the grind to get new equipment and such is a pain.",,
Palworld,PC,Survival,8,1/30/2024,151665,NA,"It's fun, especially at the beginning. However, it slows down a TON around level 25 when you need to start grinding to gain levels.",,
One-armed Robber,PC,Simulator,5,1/26/2024,263205,TRUE,I guess its better than one armed cook? There is more too it.,,
One-armed Cook,PC,Simulator,5,1/26/2024,199648,TRUE,Its okay...,,
Our Life: Beginnings and Always,PC,Dating,8,1/5/2024,122028,TRUE,A neat dating sim that spans an entire life. Pretty unique in that regard.,,
A Date With Death,PC,Dating,9,12/22/2023,253544,TRUE,I love the reaper. We kissed.,,
The Red Strings Club,PC,Visual Novel,7,12/15/2023,75247,TRUE,"A neat little sci-fi story. A bit short, but hits on some good points.",,
Lil Gator Game,PC,Platformer,8,11/30/2023,145796,TRUE,Fun and super cute game.,,
Pseudoregalia,PC,Platformer,6,11/30/2023,242148,FALSE,"Movement is great, the game overall feels really good. But I'm not a huge fan of metroidvania games, especially when they don't have a map. Cool vibe though.",,
Outcore,PC,Platformer,10,11/24/2023,156612,TRUE,PLAY THIS GAME! It's similar to The Hex and Daniel Mullens games.,,Silver
Alba: A Wildlife Adventure,PC,Adventure,7,11/9/2023,135919,TRUE,A good little adventure game that would be great for kids.,,
Before Your Eyes,PC,Visual Novel,8,11/4/2023,91477,TRUE,"Super sad, but a really great game with a really unique mechanic",,
Storyteller,PC,Puzzle,7,11/4/2023,159299,TRUE,"A neat little puzzle game, but nothing too crazy.",,
Assemble with Care,PC,Visual Novel,7,11/4/2023,117008,TRUE,Mechanics of building stuff was fun. A little short though.,,
Pineapple on Pizza,PC,Other,5,11/4/2023,240496,TRUE,What in the world did I just do.,,
Postmouse,PC,Platformer,5,11/4/2023,231675,TRUE,A neat student project with a pretty good premise. Platforming is a little jank.,,
Lethal Company,PC,Horror,7,10/31/2023,212089,NA,A good co-op roguelike horror game. It has so much potential.,Co-op,
Blackwell Unbound,PC,Adventure,6,10/28/2023,9041,TRUE,"It's a short game and the story is alright, but the music really stands out. I do get a hint at the story starting to expand though, and I feel like that is the real highlight.",,
The Complex,PC,Visual Novel,6,10/19/2023,119178,TRUE,"It's a really solid thriller movie with some good acting. If you're squeamish just be aware that this one has some fairly nasty parts. Overall, I think this is up there as one of my top 5 FMV games.",,
The Excavation of Hobs Burrow,PC,Adventure,7,10/18/2023,210665,TRUE,"This is a well made point and click adventure, but just be aware that the build up is incredibly slow.",,
Void Crew,PC,Roguelike,8,10/15/2023,243017,NA,"Really neat co-op spaceship sim. Still early access, so it could become fantastic.",Co-op,
Demonologist,PC,Horror,7,10/15/2023,241332,NA,A phasmo type of game with some neat pre-built scares. After a few plays on any level you get familiar with the scare spots though.,Co-op,
Penko Park,PC,Casual,6,10/15/2023,140130,TRUE,It's like Pokemon snap except... sort of spooky looking? This is a fun game to play around Halloween. It may even be a decent game for younger players.,,
Dredge,PC,Adventure,7,10/10/2023,164867,FALSE,"Played for around 3 hours and not much seemed to happen. It just didn't hold my interest, but it seems like it great idea that I'm sure goes places.",,
"Honey, I joined a Cult",PC,Builder,5,10/8/2023,99634,FALSE,It's not great. Really slow and sort of boring.,,
The Cosmic Wheel Sisterhood,PC,Visual Novel,9,10/5/2023,247578,TRUE,Wow. This is an incredible game with some very good writing. Choices have a huge impact.,,
King of the Castle,PC,Visual Novel,7,10/1/2023,219196,NA,A fantastic party game that allows you to tell great stories with friends.,,
Cyberpunk 2077: Phantom Liberty,PC,RPG,8,9/26/2023,215769,TRUE,Good story and good characters. The 2.0 update definitely made the game much better.,,
We Were Here Expeditions: The FriendShip,PC,Puzzle,7,9/20/2023,266676,TRUE,It's a fun little bite size we were here.,Co-op,
To be headed or not to be,PC,Puzzle,4,9/20/2023,126210,FALSE,Sort of janky. One puzzle seems to have been bugged.,Co-op,
Starfield,PC,RPG,7,9/16/2023,96437,TRUE,"A fun game, but not a huge fan of the main story line. Base building doesn't seem very useful either. Great side quests though.",,
Hand of Doom,PC,RPG,6,9/14/2023,201681,FALSE,"Fun FMV wizard game. However, some of the puzzles really suffer from old adventure game shinanigans.",,
Baldur's Gate 3,PC,RPG,10,8/22/2023,119171,TRUE,One of the best RPGs I've played.,,Gold
Ranch Simulator,PC,Simulator,6,7/21/2023,121087,TRUE,"Buggy multiplayer, but its fun overall. Could be expanded a ton.",Co-op,
Contraband Police,PC,Simulator,4,7/10/2023,76263,FALSE,"I like the idea, but I hate playing it. Things are way too vague with no feedback on what you actually missed.",,
Battlebit Remastered,PC,Shooter,7,7/8/2023,50531,NA,This is what battlefield should be...,,
Gas Station Simulator,PC,Simulator,7,7/7/2023,122522,TRUE,A fun sim with a good upgrade tree. Sort of addicting. Didn't like the airstrip dlc.,,
Cassette Beasts,PC,RPG,10,6/30/2023,133866,TRUE,What a great pokemon style game. It's absolutely perfect from the music down to the gameplay. Love every bit of it.,,Bronze
Diablo 4,PC,RPG,7,6/12/2023,125165,TRUE,"Fun! The enemy types are pretty repetitive. However, I think it's something I'll be hitting up randomly for seasons.",Mostly co-op,
Outlast Trials,PC,Horror,6,6/12/2023,127165,FALSE,"It's outlast, but multiplayer. It can be very fun, but sometimes the levels feel terrible and unbalanced. Enemies will sometimes camp objectives, etc.",,
Halls of Torment,PC,RPG,7,6/9/2023,235846,NA,A more diablo styled vampire survivor style of game. It's fun so far.,,
Age of Wonders 4,PC,Strategy,8,6/5/2023,232571,TRUE,"A fun strategy game, but the customization really makes it stand out.",,
Werewolf: Heart of the Forest,PC,Visual Novel,6,6/5/2023,134821,TRUE,It's fine. It's a short game with mediocre writing. The art style is pretty neat.,,
"Warhammer 40,000: Boltgun",PC,Shooter,7,5/25/2023,203258,TRUE,A solid warhammer game. Enemy and environment variety is sort of low for how long the game is overall.,,
Tape to Tape,PC,Sports,6,5/19/2023,190280,FALSE,A strange mix of sports and humor that is fun to play. Co-op works pretty well over remote play together. Brings back some NBA jam vibes.,Co-op,
Flashing Lights,PC,Simulator,4,5/15/2023,58580,NA,"Janky as heck, but can be fun with friends.",,
Ratchet and Clank: Rift Apart,PS5,Action,9,4/19/2023,134582,TRUE,I love ratchet and clank games. This one has a lot of neat ideas and continues the crazy weapons from previous games.,,
Division 2,PS5,Shooter,7,4/19/2023,90099,TRUE,"It's fine! It's a fun area to run around in and great co-op. However, it can get reptitive. There is a fight on every street corner, etc...",Full co-op playthrough,
Mount and Blade II: Bannerlord,PC,RPG,7,4/19/2023,9608,NA,"It's mount and blade, but a bit better. Cant wait for more mods.",,
Havendock,PC,Builder,6,4/14/2023,208652,NA,"Needs a lot of work, but it shows some promise.",,
The Case of the Golden Idol,PC,Puzzle,8,4/11/2023,166722,TRUE,"Fun game, but not as good as Obra Dinn which everyone compares it to.",,
Pixel Ripped 1989,PC,Platformer,7,4/4/2023,29839,TRUE,Quick game with a really neat VR idea. Like it!,,
Salamander County Public Television,PC,Other,8,3/31/2023,207443,TRUE,Some clever puzzles and a wacky story.,,
We Were Here Forever,PC,Puzzle,7,3/30/2023,144455,TRUE,"Pretty good, but a lot of repetition in the puzzles.",Full co-op playthrough,
Embr,PC,Action,6,3/30/2023,117312,TRUE,A fun few hours.,,
We Were Here Together,PC,Puzzle,7,3/24/2023,109535,TRUE,"Some pretty good puzzles, but definitely some frustrating bits.",Full co-op playthrough,
We Were Here,PC,Puzzle,7,3/23/2023,27310,TRUE,"Pretty clever, with some neat puzzles. Free.",Full co-op playthrough,
We Were Here Too,PC,Puzzle,6,3/23/2023,54486,TRUE,"More we were here, but with worse puzzles.",Full co-op playthrough,
Bonding Ambivalence,PC,Puzzle,8,3/22/2023,211445,TRUE,"Great idea and concept, but some puzzles need bigger hints and also the game is sort of buggy. (not a pun)",Full co-op playthrough,
Volcanoids,PC,Survival,8,3/17/2023,109117,TRUE,The train building is fun and so is raiding other trains. The shooting is very lackluster. The story is non existant and the ending is super abrupt. I really hope they keep the game going and pull it out of early access with a lot of improvements.,Full co-op playthrough,
Sons of the Forest,PC,Survival,7,3/9/2023,127346,TRUE,"Great early access game, but it does need a lot of work. Especially the ability to tag caves and locations on the map.",Full co-op playthrough,
Hogwarts Legacy,PC,RPG,9,3/1/2023,136625,TRUE,It's a great game with amazing attention to detail. The combat system is fantastic and the story is well done. It does suffer a little bit from open world fatigue after awhile. Things get copy pasted and reused a lot in the overworld. There are a lot of spiders.,,
The Corridor,PC,Puzzle,5,2/9/2023,148443,TRUE,"It has a neat trick or two, but very meh altogether.",,
Child of Light,PC,RPG,6,2/8/2023,4756,FALSE,"About halfway through. It's okay I guess. The art and music is beautiful, the dialogue is painful to read in some spots.",,
Hi-Fi Rush,PC,Action,9,2/3/2023,233585,TRUE,An absolutely amazing music game with throwbacks to old school games.,Finish off stream,
Warframe,PC,RPG,8,2/3/2023,2903,NA,"A fun action game, addictive but can get repetitive.",,
Hero Siege,PC,RPG,5,1/31/2023,11708,TRUE,"It's diablo. They just copied it exactly, including the fonts.",Full co-op playthrough,
Darksiders Genesis,PC,RPG,6,1/26/2023,119244,TRUE,"Meh, not great at anything. Buggy.",Full co-op playthrough,
